food_id,food_name,type_of_food,food_genre
32281,Strawberry and orange muffins,Cakes,"vegan,healthy"
5114,Garlic and aubergine bread,Bread Products,vegan
28977,Avocado and cucumber panini,Bread Products,"vegan,healthy"
9253,Peppercorn and chilli gyoza,International ,vegan
9969,Courgette and prune buns,Bread Products,vegan
32935,Kiwi fruit sorbet with black pepper sauce,Yogurt ,"vegan,healthy"
11061,Black pepper and tahini bagel,Bread Products,vegan
820,Lemon and cardamom biscuits,Cookies/Biscuits,vegan
15335,Strawberry and thyme vegancrepes,Crepes,vegan
15417,Spinach and squash gyoza,International ,vegan
4181,Cardamom and cream cake,Cakes,"vegetarian,baked,sweet"
28851,Bilberry and pomelo jam,Jams,vegetarian
918,Blueberry and pumpkin cupcakes,Cakes,"vegetarian,baked,sweet"
2904,Tahini and egg bagel,Bread Products,"vegetarian,baked"
28891,Chickpea andsweetcorn dumplings,International ,"vegetarian,frozen food"
199,Aubergine and pepper uramaki,International ,"vegetarian,frozen food"
23273,Celeriac and coriander wontons,International ,"vegetarian,frozen food"
24701,Thyme and camembert pancake,Cakes,"vegetarian,baked"
12355,Cheese and squash cookies,Cookies/Biscuits,"vegetarian,baked"
1575,Onion and black pepper bagel,Bread Products,"vegetarian,baked"
263,Sheermal and cream bread,Bread Products,"non vegetarian,baked"
44,Marzipan and pineapple cake,Cakes,non vegetarian
1,Parmesan and steak ciabatta,Bread Products,"non vegetarian,baked,salty"
30276,Weetabix and loaf,Bread Products,"non vegetarian,baked"
164,Caraway and chamomile cake,Cakes,"non vegetarian,sweet"
7311,Sole and chilli gyoza,International ,"non vegetarian,frozen food"
17074,Polenta and sultana biscuits,Cookies/Biscuits,"non vegetarian,baked"
21939,Celeriac and pheasant wontons,International ,"non vegetarian,frozen food"
457,Cardamom and date cupcakes,Cakes,"non vegetarian,baked"
2001,Honey and bran muffins,Cakes,"non vegetarian,baked"
245,Mummies,Candy,"vegetarian,sweet,artificial flavours"
32983,Poofs,Candy,"vegetarian,sweet,artificial flavours"
5258,Marbles,Candy,"vegetarian,sweet,artificial flavours"
28957,Rumbuns,Candy,"vegetarian,sweet,artificial flavours"
11665,Pippops,Candy,"vegetarian,sweet,artificial flavours"
431,Flakies,Candy,"vegetarian,sweet,artificial flavours,gluten free"
11741,Jingles,Candy,"vegetarian,sweet,artificial flavours"
31757,Rickets,Candy,"vegetarian,sweet,artificial flavours"
19,Coolies,Candy,"vegetarian,sweet,artificial flavours,gluten free"
12365,Heartstones,Candy,"vegetarian,sweet,artificial flavours"
1535,"Lay's Oven baked Potato Crisps, Original",Chips,"vegetarian,baked"
32366,Smartfoods Popcorn,Chips,"vegetarian,baked, cheese"
30654,Sunchips,Chips,"vegetarian,baked, spicy"
20583,Tostitos OvenbakedScoops,Chips,"vegetarian,baked,salty"
19647,Popchips Potato Chips,Chips,"vegetarian,baked, cheese"
4282,"Popchips, Barbeque Potato",Chips,"vegetarian,baked, spicy"
10379,Simply Ruffles,Chips,"vegetarian,baked,salty "
22135,"Doritos Tortilla Chips, Nacho Cheese",Chips,"vegetarian,baked, cheese"
21329,Pringles Original,Chips,"vegetarian,baked"
31043,"Doritos Tortilla Chips, Ranch",Chips,"vegetarian,baked, spicy"
7785,Taza bars,Chocolates,"vegan, chocolate,gluten free,sweet"
3297,Theo Chocolat Bars,Chocolates,"vegan, chocolate,gluten free,salty"
30709,Equal Exchange dark treats,Chocolates,"vegan, dark chocolate,gluten free, bitter"
6114,Alter Ecosweet treat,Chocolates,"vegan, chocolate,gluten free,sweet"
31240,Goodio bar,Chocolates,"vegan, chocolate,salty"
4565,Hersheys kisses V,Chocolates,"vegan, chocolate, extra dark"
5300,Hu extra dark chocolate bars,Chocolates,"vegan, chocolate, extra dark"
9989,Devine treasures ,Chocolates,"vegan, dark chocolate,gluten free, bitter"
24415,Welsh ,Candy,"vegetarian,sweet, fruit flavours,gluten free"
11577,Toostie Frootie,Candy,"vegetarian,sweet, fruit flavours "
10408,Sugary treats,Candy,"vegetarian,sweet, fruit flavours "
28171,Fruit Medly ,Candy,"vegetarian,sweet, fruit flavours,gluten free"
32995,Fruit Mix,Candy,"vegetarian,sweet, fruit flavours "
21899,Ferrero Rocher,Chocolates,"vegetarian, chocolate,gluten free,sweet"
26055,Hersherys kisses,Chocolates,"vegetarian, chocolate, caramel"
7472,Barone ,Chocolates,"vegetarian, dark chocolate,gluten free, bitter"
777,Lindt & Sprüngli,Chocolates,"vegetarian, chocolate,gluten free,sweet"
22535,Ghirardelli Minis,Chocolates,"vegetarian, chocolate,salty"
28735,Toblerone Minis,Chocolates,"vegetarian, chocolate,sweet"
12431,Nestle Munch,Chocolates,"vegetarian, chocolate, waffer"
28805,Nestle Kitkat,Chocolates,"vegetarian, chocolate, waffer"
578,Cadbury Diary Milk Dark,Chocolates,"vegetarian, dark chocolate, bitter"
16894,Cadbury Diary Milk Silk,Chocolates,"vegetarian, chocolate,sweet"
5028,Cadbury Diary Milk Roasted Almonds,Chocolates,"vegetarian, chocolate,sweet, almonds"
21,Mr Goodbar,Chocolates,"vegetarian, chocolate, caramel"
801,Wise Onion Rings,Chips,"vegan,baked"
31933,Kettle Brand Sea Salt & Vinegar Potato Chips,Chips,"vegan,baked, cheese"
5205,Food Should Taste Good Guacamole Tortilla Chips,Chips,"vegan,baked, spicy"
17389,Beanitos White Bean Chips Hint of Lime ,Chips,"vegan,baked,salty"
170,Kettle Brand Organic Jalapeño Potato Chips,Chips,"vegan,baked, cheese"
10162,Beanfields Pico de Gallo Bean and Rice Chips,Chips,"vegan,baked, spicy"
18617,Funyuns Vsalty,Chips,"vegan,baked,salty "
32182,Funyuns V cheese,Chips,"vegan,baked, cheese"
877,Funyuns V original,Chips,"vegan,baked"
2251,Funyuns V spice,Chips,"vegan,baked, spicy"
24687,Bika Bakes Cuttlefish ,Chips,"non vegetarian,baked"
16498,Bika chesse Cuttlefish ,Chips,"non vegetarian,baked, cheese"
10030,Bika Spicy honey prawn,Chips,"non vegetarian,baked, spicy"
5941,Bikasalty salmon ,Chips,"non vegetarian,baked,salty"
30346,Nestle Cheesy chicken chips,Chips,"non vegetarian,baked, cheese"
3784,Nestle Crispy chicken chips,Chips,"non vegetarian,baked, spicy"
13125,Nestlesalty chicken chips,Chips,"non vegetarian,baked,salty "
12029,Ario Non veg treats cheese,Chips,"non vegetarian,baked, cheese"
14397,Ario Non veg treats original,Chips,"non vegetarian,baked"
10087,Ario Non veg treats spicy,Chips,"non vegetarian,baked, spicy"
14719,Oreo,Cookies/Biscuits,"vegetarian,baked"
9756,Biscoff,Cookies/Biscuits,"vegetarian,baked"
10165,Jim Jam ,Cookies/Biscuits,"vegetarian,baked"
